rooms,price,is_exception
6.390000,75652.010000,false
3.840000,42044.780000,false
8.550000,110330.110000,false
8.600000,113944.550000,false
8.090000,103460.160000,false
5.740000,57857.260000,false
4.200000,42288.990000,false
7.930000,91661.480000,false
7.640000,110405.800000,false
7.680000,22429.610000,true
4.550000,37428.470000,false
3.310000,26175.610000,false
4.710000,55767.460000,false
5.430000,49858.120000,false
3.960000,39986.110000,false
6.170000,84275.090000,false
4.780000,55761.480000,false
8.980000,134209.470000,false
3.690000,41744.690000,false
6.580000,83012.610000,false
7.510000,87676.080000,false
6.560000,80731.930000,false
5.670000,74654.200000,false
7.210000,60134.550000,true
8.670000,115393.450000,false
7.740000,112008.800000,false
5.890000,57737.950000,false
6.510000,78098.210000,false
3.470000,154256.660000,true
6.520000,63684.710000,false
8.210000,98802.950000,false
7.410000,85540.980000,false
8.440000,114812.520000,false
4.300000,34287.830000,false
4.000000,43649.660000,false
6.340000,83665.390000,false
4.900000,58789.170000,false
8.130000,105441.010000,false
6.420000,63562.470000,false
3.140000,33558.840000,false
6.260000,68851.430000,false
6.720000,94039.110000,false
3.560000,38890.230000,false
7.080000,89748.880000,false
6.180000,62751.420000,false
6.030000,77302.930000,false
5.510000,48972.870000,false
6.660000,76438.440000,false
3.210000,25944.490000,false
7.690000,96998.610000,false
5.850000,69351.550000,false
6.730000,79957.660000,false
8.970000,129791.760000,false
8.470000,24587.250000,true
3.840000,37843.620000,false
8.200000,132026.240000,false
4.620000,45664.110000,false
3.240000,32127.070000,false
3.190000,26351.090000,false
7.090000,99549.150000,false
7.650000,97980.140000,false
6.770000,94785.210000,false
3.480000,37444.740000,false
7.880000,103375.950000,false
5.990000,61595.740000,false
4.670000,67408.890000,true
4.770000,44601.700000,false
5.090000,52832.890000,false
6.230000,70906.000000,false
5.300000,46631.120000,false
6.940000,94610.940000,false
7.790000,94867.320000,false
7.840000,101237.540000,false
5.070000,54691.190000,false
3.740000,33525.750000,false
4.750000,45667.010000,false
8.440000,128500.300000,false
4.440000,41866.240000,false
8.520000,120797.900000,false
6.050000,78093.180000,false
4.540000,38551.200000,false
5.870000,54791.400000,false
4.460000,51065.440000,false
6.420000,69499.170000,false
6.760000,87534.530000,false
7.380000,106922.950000,false
6.130000,76215.860000,false
6.820000,71032.970000,false
8.640000,140117.180000,false
8.490000,133169.590000,false
3.350000,34506.740000,false
7.610000,84586.300000,false
4.460000,53180.000000,false
5.260000,66045.060000,false
6.320000,75106.520000,false
8.930000,161385.640000,false
3.080000,25122.220000,false
6.160000,63984.210000,false
5.400000,55056.220000,false
8.760000,140115.490000,false
6.510000,71018.470000,false
3.260000,30768.030000,false
8.990000,119138.300000,false
3.060000,23843.620000,false
4.620000,47212.280000,false
3.340000,35935.170000,false
6.190000,65433.720000,false
5.580000,64990.460000,false
7.440000,106183.290000,false
8.760000,117725.310000,false
3.930000,36001.350000,false
7.300000,81621.740000,false
6.140000,68424.950000,false
5.330000,63327.380000,false
5.010000,53721.820000,false
3.330000,30573.940000,false
8.540000,115752.850000,false
5.310000,67264.550000,false
7.820000,101175.780000,false
3.410000,26632.750000,false
5.930000,80845.990000,false
8.080000,105885.310000,false
4.260000,36580.370000,false
8.630000,150071.010000,false
8.400000,118179.900000,false
8.990000,159787.220000,false
8.680000,121362.540000,false
8.800000,128056.660000,false
4.060000,154856.420000,true
4.920000,56598.080000,false
7.600000,117339.620000,false
6.520000,74772.460000,false
8.080000,100186.890000,false
8.020000,104375.390000,false
6.610000,93594.460000,false
5.110000,54014.760000,false
7.670000,105087.650000,false
4.700000,50967.450000,false
3.240000,30371.250000,false
5.920000,67826.520000,false
8.580000,121784.510000,false
6.600000,93502.790000,false
3.470000,30647.040000,false
7.670000,113826.570000,false
6.240000,59940.820000,false
4.280000,47195.760000,false
7.670000,117686.250000,false
7.110000,84654.190000,false
4.560000,49795.160000,false
3.110000,30434.140000,false
4.800000,164048.500000,true
6.510000,73997.900000,false
3.420000,151203.140000,true
8.880000,147745.060000,false
8.460000,113776.760000,false
6.700000,80002.740000,false
8.280000,94997.550000,false
7.970000,124312.620000,false
6.980000,101398.090000,false
6.350000,89032.720000,false
8.320000,122829.580000,false
8.710000,110611.210000,false
4.070000,37853.360000,false
3.760000,30774.070000,false
3.840000,32725.660000,false
7.230000,108425.790000,false
3.760000,32681.380000,false
5.160000,55360.630000,false
4.670000,55938.260000,false
6.210000,73887.500000,false
7.310000,91552.750000,false
5.200000,57749.980000,false
3.640000,28418.790000,false
3.060000,27763.160000,false
3.770000,32254.370000,false
7.000000,102638.160000,false
4.400000,35847.680000,false
5.010000,55273.590000,false
6.490000,65155.200000,false
6.800000,91976.230000,false
6.040000,75104.460000,false
4.440000,50195.110000,false
8.330000,110993.330000,false
8.270000,127502.430000,false
6.820000,87743.260000,false
7.900000,101450.410000,false
7.220000,84588.170000,false
8.820000,120070.670000,false
4.730000,53780.680000,false
3.260000,27815.590000,false
8.890000,60744.270000,true
3.580000,36277.900000,false
7.210000,84825.040000,false
6.200000,72057.870000,false
8.540000,138198.540000,false
8.370000,106932.810000,false
5.400000,51737.750000,false
7.550000,83535.110000,false
5.110000,49332.470000,false
6.150000,69510.730000,false
